Grupo de Perfil;Cod. Setor;Descricao Setor;Codigo Cliente;Razao Social;Bairro;Ordem;Status do Cliente;Nome Fantasia;Frequencia Visita;Periodicidade;Proxima Visita;Visita Original;Inicio Visita;CNPJ;Inscricao Estadual;Cod. Estabelecimento;Nome Estabelecimento;Cod. Pagto;Descricao Pagto;Serasa;Observacao;Contato;CNPJ;Contato;CNPJ;Ordem por Historico;Dias Entrega;El Dorado;Endereço;Cidade;Cod. Segmento;Segmento
05;0011;SETOR INATIVO RN                                  ;35.935;MATEUS LEONARDO FERNANDES DA SILVA      ;JARDIM ITAPEMA     ;099;I;BAR OLOCOMEUU       ;SAB/                        ;Semanal   ;26/04/2025;26/04/2025;14/09/2024;000036164379890;ISENTO            ;131;BAR/BARZINHO   ;002;DINHEIRO        ;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;    PASCHOAL DECRESCENZO          826   ;SAO JOSE DO RIO PRETO         ;20;Rota                                    
05;0012;TRATAMENTO                                        ;36.039;56.153.402 JOSE RIBAMAR MAIA DOS REIS   ;PARQUE DAS AROEIRAS;001;A;RIBAMAR SERV FESTA  ;SEG/                        ;Semanal   ;28/04/2025;28/04/2025;11/11/2024;056153402000180;150318440110      ;222;DEPOSITO DE BEB;035;1 DIA BOLETO SAD;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;R   ADELIA BOLDRINI GABRIELE      338   ;SAO JOSE DO RIO PRETO         ;21;SUB                                     
05;0012;TRATAMENTO                                        ;36.055;56.340.163 GILBERTO GABALDI DA SILVA    ;JARDIM VILA ALTA   ;001;A;A NOSSA PIZZA       ;SEG/                        ;Semanal   ;28/04/2025;28/04/2025;02/12/2024;056340163000178;703031640110      ;131;BAR/BARZINHO   ;035;1 DIA BOLETO SAD;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;AV  AURELIO CECHINI               153   ;UCHOA                         ;20;Rota                                    
05;0012;TRATAMENTO                                        ;70.717;GALISTEU COMERCIO VAREJISTA DE ALIMENTOS;VILLAGE DAMHA RIO P;001;A;ISTOK DAHMA 3       ;SEG/                        ;Semanal   ;28/04/2025;28/04/2025;09/01/2023;048750444000170;124407802116      ;065;ARMAZEM/MERCEAR;035;1 DIA BOLETO SAD;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;R   ELOY AGOSTINHO JACOMINI       184   ;SAO JOSE DO RIO PRETO         ;18;TRAD                                    
05;0012;TRATAMENTO                                        ;83.914;55.885.813 NATHALIA CRISTINA DA SILVA AU;ESTANCIA SAO CARLOS;001;A;SABOR DA FAMILIA    ;SEG/                        ;Semanal   ;28/04/2025;28/04/2025;07/10/2024;055885813000106;137979855113      ;142;REST./PIZZARIA/;035;1 DIA BOLETO SAD;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;R   JOSE ERNESTO SOBRINHO         124   ;SAO JOSE DO RIO PRETO         ;20;Rota                                    
05;0012;TRATAMENTO                                        ;83.979;GUSTAVO F. BELLONI                      ;PARQUE INDUSTRIAL  ;001;A;INDUSTRIAL CAFE BAR ;SEG/                        ;Semanal   ;28/04/2025;28/04/2025;04/11/2024;031094091000103;124409433114      ;076;PADARIA/CONFEIT;035;1 DIA BOLETO SAD;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;R   MAJOR JOAO BATISTA FRANCA     1064  ;SAO JOSE DO RIO PRETO         ;18;TRAD                                    
05;0012;TRATAMENTO                                        ;84.049;58.263.624 MATHEUS HENRIQUE MAZOCHO     ;SAO BENEDITO       ;001;A;PASTEL DA FER       ;SEG/                        ;Semanal   ;28/04/2025;28/04/2025;27/01/2025;058263624000181;596021490113      ;222;DEPOSITO DE BEB;035;1 DIA BOLETO SAD;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;AV  JOAO GOMES DA CONCEICAO       75    ;SALES                         ;21;SUB                                     
05;0012;TRATAMENTO                                        ;29.964;DIOGO HENRIQUE FERREIRA 41124515801     ;JARDIM SANTO ANTONI;099;B;BAR DO HENRIQUE     ;SEG/                        ;Semanal   ;28/04/2025;28/04/2025;30/09/2024;029202068000135;647919520117      ;131;BAR/BARZINHO   ;006;PIX AVISTA      ;S;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;R   IGNACIA PAULA BUZZINI         492   ;SAO JOSE DO RIO PRETO         ;20;Rota                                    
05;0012;TRATAMENTO                                        ;34.553;VALDINETE RIBEIRO APOLINARIO            ;CENTRO             ;099;A;CAFETERIA E LANCHONE;SEG/                        ;Quinzenal ;05/05/2025;05/05/2025;05/12/2022;043944480000151;262.030.313.113   ;153;LANCHONETE/PAST;002;DINHEIRO        ;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;    AVENIDA ANTÔNIO DOS SANTOS GAL1233  ;                              ;20;Rota                                    
05;0012;TRATAMENTO                                        ;34.577;PEREIRA ARANTES VARIEDADES LTDA         ;CENTRO             ;099;A;LOJA KIBARATO       ;SEG/                        ;Quinzenal ;05/05/2025;05/05/2025;05/12/2022;047540146000193;151013235115      ;065;ARMAZEM/MERCEAR;002;DINHEIRO        ;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;    RUA SANTOS DUMMONT            735   ;ADOLFO                        ;18;TRAD                                    
05;0012;TRATAMENTO                                        ;34.597;DECIO BUENO DE PAULA JUNIOR 33307101870 ;CENTRO             ;099;A;RESTAURAR COZINHA AF;SEG/                        ;Quinzenal ;05/05/2025;05/05/2025;05/12/2022;047684511000133;360013928118      ;142;REST./PIZZARIA/;002;DINHEIRO        ;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;    PRAÇA LUIZ NESTLEHNER         200   ;IPORANGA                      ;20;Rota                                    
05;0012;TRATAMENTO                                        ;34.601;PAULA GRAZIELA MORENO RUIZ              ;VILA IPIRANGA      ;099;A;PAULA GRAZIELA MOREN;SEG/                        ;Quinzenal ;05/05/2025;05/05/2025;05/12/2022;031582613000108;647978128111      ;076;PADARIA/CONFEIT;002;DINHEIRO        ;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;    CASTRO ALVES                  18    ;SAO JOSE DO RIO PRETO         ;18;TRAD                                    
05;0012;TRATAMENTO                                        ;34.607;JEAN TEYLOR CORDEIRO NAVES 43483994840  ;IPE 1              ;099;A;PANIFICADORA STELLA ;SEG/                        ;Quinzenal ;05/05/2025;05/05/2025;05/12/2022;048226837000180;451171029111      ;076;PADARIA/CONFEIT;002;DINHEIRO        ;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;    RUA WALTER BENITO VITA        4226  ;                              ;18;TRAD                                    
05;0012;TRATAMENTO                                        ;34.645;ANA PAULA BATISTA MENDES 41396651810    ;CENTRO             ;099;A;PASTELARIA BETEL    ;SEG/                        ;Quinzenal ;05/05/2025;05/05/2025;21/11/2022;037397930000130;451140499117      ;076;PADARIA/CONFEIT;002;DINHEIRO        ;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;R   RUA JOaO B. ALVES VIANA       3787  ;MIRASSOL                      ;18;TRAD                                    
05;0012;TRATAMENTO                                        ;34.709;DIEGO HENRIQUE SOARES 33699350827       ;HIGIENOPOLIS       ;099;A;LOJA TAMARA MATERNAR;SEG/                        ;Quinzenal ;28/04/2025;28/04/2025;12/12/2022;047231819000123;124372006118      ;065;ARMAZEM/MERCEAR;002;DINHEIRO        ;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;    FRANCISCO DAS CHAGAS OLIVEIRA 2399  ;SAO JOSE DO RIO PRETO         ;18;TRAD                                    
05;0012;TRATAMENTO                                        ;34.723;ELENI BOMBARDA LUCATTO EIRELI           ;CENTRO             ;099;A;ELENI BOMBARDA LUCAT;SEG/                        ;Quinzenal ;05/05/2025;05/05/2025;19/12/2022;007385820000198;ISENTO            ;997;EVENTOS        ;002;DINHEIRO        ;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;    RODOVIA WASHINGTON LUÍS       SN    ;SAO JOSE DO RIO PRETO         ;20;Rota                                    
05;0012;TRATAMENTO                                        ;35.909;53.605.392 AMANDA CAROLINA SARAIVA      ;JARDIM SANTO ANTONI;099;B;SERV FESTA SIMOES   ;SEG/                        ;Semanal   ;28/04/2025;28/04/2025;30/09/2024;053605392000189;132908259112      ;222;DEPOSITO DE BEB;035;1 DIA BOLETO SAD;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;AV  ORLANDO CANUTO DA SILVA       3051  ;SAO JOSE DO RIO PRETO         ;20;Rota                                    
05;0012;TRATAMENTO                                        ;70.417;A. R. MORALES MINIMERCADO LTDA          ;JARDIM MARIA LUCIA ;099;A;ACOUGUE ESQUINA     ;SEG/                        ;Semanal   ;28/04/2025;28/04/2025;15/05/2023;048063774000198;124391464118      ;065;ARMAZEM/MERCEAR;035;1 DIA BOLETO SAD;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;R   NOSSA SENHORA APARECIDA       271   ;SAO JOSE DO RIO PRETO         ;18;TRAD                                    
05;0012;TRATAMENTO                                        ;83.707;53.689.625 CLEMENTE LOPES               ;CENTRO             ;099;A;BAR DOS AMIGOS      ;SEG/                        ;Semanal   ;28/04/2025;28/04/2025;30/09/2024;053689625000179;704011314110      ;131;BAR/BARZINHO   ;035;1 DIA BOLETO SAD;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;R   SAO BERNARDO                  485   ;UNIAO PAULISTA                ;20;Rota                                    
05;0012;TRATAMENTO                                        ;83.715;27.601.336 RENATO OLIVEIRA CAMPOS       ;CENTRO             ;099;A;PETISCARIA CAMPOS   ;SEG/                        ;Semanal   ;28/04/2025;28/04/2025;30/09/2024;027601336000166;596020759118      ;131;BAR/BARZINHO   ;035;1 DIA BOLETO SAD;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;AV  INDEPENDENTE                  40    ;SALES                         ;20;Rota                                    
05;0012;TRATAMENTO                                        ;83.801;49.637.982 SANDRO SOUSA COTRIM          ;JARDIM ARROYO      ;099;B;SERV FESTA AVENIDA  ;SEG/                        ;Semanal   ;28/04/2025;28/04/2025;30/09/2024;049637982000116;124427440110      ;222;DEPOSITO DE BEB;035;1 DIA BOLETO SAD;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;R   CARMEM MARTINS ARROYO DE OLIVE160   ;SAO JOSE DO RIO PRETO         ;21;SUB                                     
05;0012;TRATAMENTO                                        ;31.802;RAYMUNDO e CAMARGO SERV FESTAS LTDA     ;SOLIDARIEDADE      ;001;B;S F SOLIDARIEDADE   ;TER/                        ;Semanal   ;22/04/2025;22/04/2025;22/10/2024;028090877000130;647889551117      ;998;SERV FESTA     ;002;DINHEIRO        ;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;R   ILIDIA ERNESTINA DE JESUS BORG406   ;SAO JOSE DO RIO PRETO         ;21;SUB                                     
05;0012;TRATAMENTO                                        ;33.077;CLODOVIR LIZIERO 78452040806            ;SAO JOAO DO ITAGUAC;001;B;NSA SNA DE FATIMA   ;TER/                        ;Semanal   ;22/04/2025;22/04/2025;07/12/2021;043624992000130;707038738111      ;065;ARMAZEM/MERCEAR;035;1 DIA BOLETO SAD;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;R   ITAJOBI                       235   ;URUPES                        ;18;TRAD                                    
05;0012;TRATAMENTO                                        ;33.721;EVA GONCALVES IEIRI 87670577800         ;JARDIM CANAA       ;001;B;RIO PRETO FEIJOARIA ;TER/                        ;Semanal   ;22/04/2025;22/04/2025;24/05/2022;032244221000100;647994889110      ;142;REST./PIZZARIA/;035;1 DIA BOLETO SAD;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;R   CATANDUVA                     661   ;SAO JOSE DO RIO PRETO         ;20;Rota                                    
05;0012;TRATAMENTO                                        ;70.716;DEMONTE E VAZQUEZ LTDA                  ;JARDIM FRANCISCO FE;001;A;ISTOK MARACANA      ;TER/                        ;Quinzenal ;29/04/2025;29/04/2025;24/01/2023;048520038000111;124402369110      ;222;DEPOSITO DE BEB;035;1 DIA BOLETO SAD;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;AV  JOSE MUNIA                    6300  ;SAO JOSE DO RIO PRETO         ;21;SUB                                     
05;0012;TRATAMENTO                                        ;83.963;JOSIANE BECARI VILA VERDE PEREIRA       ;JARDIM AMERICA     ;001;A;FORNECEDOR          ;TER/                        ;Semanal   ;22/04/2025;22/04/2025;22/10/2024;023834126000248;124059051118      ;225;BALCAO         ;002;DINHEIRO        ;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;AV  MEXICO                        592   ;SAO JOSE DO RIO PRETO         ;00;                                        
05;0012;TRATAMENTO                                        ;83.982;57.883.617 RAIANE BEATRIZ DOS SANTOS PER;CENTRO             ;001;A;CASA BAR            ;TER/                        ;Semanal   ;22/04/2025;22/04/2025;05/11/2024;057883617000110;195079204113      ;131;BAR/BARZINHO   ;035;1 DIA BOLETO SAD;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;R   FERNANDO CORREIA PIRES        1623  ;BADY BASSITT                  ;20;Rota                                    
05;0012;TRATAMENTO                                        ;29.409;LUCIA HELENA PEREIRA NUNES              ;CENTRO             ;099;B;COMERCIAL NUNES     ;TER/                        ;Semanal   ;22/04/2025;22/04/2025;08/09/2020;028477694000171;346011824116      ;998;SERV FESTA     ;006;PIX AVISTA      ;S;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;AV  SIMPLICIANO CUSTODIO DA SILVEI45    ;ICEM                          ;21;SUB                                     
05;0012;TRATAMENTO                                        ;30.635;CARLOS ALBERTO CAPELIN                  ;GONZAGA DE CAMPOS  ;099;I;BAR TRES REIS       ;TER/                        ;Semanal   ;22/04/2025;22/04/2025;01/10/2024;065465767000131;647140913114      ;131;BAR/BARZINHO   ;035;1 DIA BOLETO SAD;N;VP;                                   ;                  ;                                   ;                  ;   ;                            ;N;R   SAO BENTINHO                  206   ;SAO JOSE DO RIO PRETO         ;20;Rota                                    
05;0012;TRATAMENTO                                        ;32.209;RESTAURANTE E CHURRASCARIA GRAMADAO LTDA;VILA AEROPORTO     ;099;A;GRAMADAO            ;TER/                        ;Semanal   ;22/04/2025;22/04/2025;01/10/2024;039304512000187;451144430112      ;142;REST./PIZZARIA/;035;1 DIA BOLETO SAD;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;AV  SANTOS DUMONT                 4305  ;MIRASSOL                      ;20;Rota                                    
05;0012;TRATAMENTO                                        ;34.145;MERCEARIA VICENTINE LTDA                ;JARDIM YOLANDA     ;099;A;MERCEARIA VICENTINE ;TER/                        ;Semanal   ;22/04/2025;22/04/2025;01/10/2024;045970762000159;124341411118      ;065;ARMAZEM/MERCEAR;035;1 DIA BOLETO SAD;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;R   JORGE ABRAO AUED              255   ;SAO JOSE DO RIO PRETO         ;18;TRAD                                    
05;0012;TRATAMENTO                                        ;34.418;MARCELO MUNIZ RIBEIRO 37066679830       ;VILA ERCILIA       ;099;A;MARCELO MUNIZ RIBEIR;TER/                        ;Quinzenal ;22/04/2025;22/04/2025;19/07/2022;040710893000183;189.273.865.110   ;997;EVENTOS        ;002;DINHEIRO        ;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;    DOUTOR LUIZ AMERICO DE FREITAS182   ;SAO JOSE DO RIO PRETO         ;20;Rota                                    
05;0012;TRATAMENTO                                        ;34.477;SIDNEI PERPETUO MARQUES 07050082821     ;JARDIM SANTA LUZIA ;099;A;DIEGO VITOR         ;TER/                        ;Quinzenal ;29/04/2025;29/04/2025;26/07/2022;046042647000187;124.343.887.116   ;222;DEPOSITO DE BEB;002;DINHEIRO        ;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;    COMENDADOR MANCOR DAUD        248   ;SAO JOSE DO RIO PRETO         ;21;SUB                                     
05;0012;TRATAMENTO                                        ;34.608;RENATO PEREIRA DE OLIVEIRA 42892665841  ;JARDIM CONCEICAO   ;099;A;RENATO PEREIRA      ;TER/                        ;Quinzenal ;22/04/2025;22/04/2025;06/12/2022;048399383000149;124399456111      ;222;DEPOSITO DE BEB;002;DINHEIRO        ;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;    ANISIO JOSE MOREIRA           111   ;SAO JOSE DO RIO PRETO         ;21;SUB                                     
05;0012;TRATAMENTO                                        ;34.609;GABRIEL DIVINO LOPES 50376169800        ;CENTRO             ;099;A;ADAO CLEBER         ;TER/                        ;Quinzenal ;22/04/2025;22/04/2025;06/12/2022;048316271000187;498035130118      ;997;EVENTOS        ;002;DINHEIRO        ;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;    RUA SALIM JOSÉ CURY           300   ;                              ;20;Rota                                    
05;0012;TRATAMENTO                                        ;34.615;ROSANGELA APARECIDA SALES 12156435863   ;RESIDENCIAL VILLAGE;099;A;ELVIS SALES         ;TER/                        ;Quinzenal ;22/04/2025;22/04/2025;06/12/2022;043546088000154;124357647110      ;222;DEPOSITO DE BEB;002;DINHEIRO        ;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;    ROSA ANDREATO CANTARIN        750   ;SAO JOSE DO RIO PRETO         ;21;SUB                                     
05;0012;TRATAMENTO                                        ;34.629;RAMON DA SILVA MUNIZ 44458263838        ;CENTRO             ;099;A;RAMON MUNIZ DOCERIA ;TER/                        ;Quinzenal ;22/04/2025;22/04/2025;06/12/2022;038367467000147;462057756119      ;153;LANCHONETE/PAST;002;DINHEIRO        ;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;    RUA AUGUSTO CHIESA            800   ;MONTE APRAZIVEL               ;20;Rota                                    
05;0012;TRATAMENTO                                        ;34.715;KELLI SOUZA SIMAO 34031954816           ;CENTRO             ;099;A;MKM DOG & PORCOES   ;TER/                        ;Quinzenal ;29/04/2025;29/04/2025;27/12/2022;036326721000133;346014451116      ;153;LANCHONETE/PAST;002;DINHEIRO        ;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;    SIMPLICIANO CUSTODIO DA SILVEISN    ;ICEM                          ;20;Rota                                    
05;0012;TRATAMENTO                                        ;34.738;PIMENTA E PIMENTA COMERCIO DE ALIMENTOS ;IGUATEMI           ;099;A;FICHIPS IGUATEMI RIO;TER/                        ;Semanal   ;22/04/2025;22/04/2025;27/12/2022;041919328000193;124.225.388.112   ;142;REST./PIZZARIA/;002;DINHEIRO        ;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;    PRESIDENTE JUSCELINO KUBITSCHE5000  ;SAO JOSE DO RIO PRETO         ;20;Rota                                    
05;0012;TRATAMENTO                                        ;34.739;ILDEFONSO DE CASTRO DEUS NETO           ;IGUATEMI           ;099;A;FRANGO LITO IGUATEMI;TER/                        ;Semanal   ;22/04/2025;22/04/2025;27/12/2022;030244009000109;124.145.296.110   ;142;REST./PIZZARIA/;002;DINHEIRO        ;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;    PRESIDENTE JUSCELINO KUBITSCHE5000  ;SAO JOSE DO RIO PRETO         ;20;Rota                                    
05;0012;TRATAMENTO                                        ;34.747;48.945.647 FRANCISCO DANIEL DE FREITAS  ;CENTRO             ;099;A;SACOLAO TRES IRMAOS ;TER/                        ;Quinzenal ;29/04/2025;29/04/2025;27/12/2022;048945647000112;346018944115      ;997;EVENTOS        ;002;DINHEIRO        ;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;    AVENIDA SIMPLICIANO CUSTÓDIO D246   ;ICEM                          ;20;Rota                                    
